1907年(清德宗光绪三十三年丁未),上海,黄宾虹,邓实、黄节、刘师培,社交/交往,逃亡至上海，加入国学保存会，结识邓实、黄节、刘师培等国学界人士，参与《国粹学报》相关事务,《国学保存會史》,不详,,,,,,,
1907年(清德宗光绪三十三年丁未),上海,黄宾虹,无,收藏/鉴藏,在上海期间，于古玩市场、藏家手中搜集古印、书画、金石拓本，丰富个人收藏,《頻虹藏漢銅印記》,不详,,,,,,,
1907年(清德宗光绪三十三年丁未),安徽安庆,黄宾虹,沈曾植,社交/交往,风波平息后返乡，途中赴安庆拜访沈曾植，交流金石书画与国学见解,《沈曾植年譜》,不详,,,,,,,
1907年(清德宗光绪三十三年丁未),安徽安庆,黄宾虹,无,学业/求学,参与安庆存古学堂的创办与教学工作，教授国学、书画相关课程,《安徽省教育志》,不详,,,,,,,
1907年(清德宗光绪三十三年丁未),安徽歙县,黄宾虹,黄赓,其他,将丰堨堰田事务移交二弟黄赓打理，不再参与农田治理相关事务,《任耕感言》,不详,,,,,,,
1908年(清德宗光绪三十四年戊申),上海,黄宾虹,邓实、黄节,社交/交往,重游上海，与国学保存会同人相聚，出示个人金石书画藏品与同人鉴赏交流,《国粹学报》,不详,,,,,,,
1908年(清德宗光绪三十四年戊申),上海,黄宾虹,无,艺术/创作,《滨虹论画》系列文章在《国粹学报》正式连载，系统阐述个人绘画理论与见解,《国粹学报》,不详,,,,,,,
1908年(清德宗光绪三十四年戊申),安徽歙县,黄宾虹,黄赓,其他,返回歙县，正式完成丰堨堰田事务的交接，由二弟黄赓全面接管,《任耕感言》,不详,,,,,,,
1908年(清德宗光绪三十四年戊申),安徽歙县,黄宾虹,无,收藏/鉴藏,整理个人藏印，继续搜集乡邦文献、金石拓本,《濱虹集印》,不详,,,,,,,
1909年(清宣统元年己酉),上海,黄宾虹,邓实,社交/交往,赴安庆途中停留上海，协助神州国光社编务工作，参与美术丛书的编纂,《神州國光社史》,不详,,,,,,,
1909年(清宣统元年己酉),上海,黄宾虹,吴昌硕、王一亭、高邕,社交/交往,在上海结识吴昌硕、王一亭、高邕等海上书画名家，参与海上题襟馆等书画社团活动,《海上畫壇史》,不详,,,,,,,
1909年(清宣统元年己酉),江苏苏州,黄宾虹,陈去病、柳亚子,社交/交往,游览苏州，参加南社首次雅集，与陈去病、柳亚子等南社同人相聚，创作书画作品,《南社紀事》,不详,,,,,,,
1909年(清宣统元年己酉),安徽歙县,黄宾虹,黄赓,其他,年末返回歙县，对堰田事务的交接情况进行核查，对相关事宜心存不安,《任耕感言》,不详,,,,,,,
1909年(清宣统元年己酉),上海,黄宾虹,无,艺术/创作,在上海期间创作大量山水、花卉画作，与同人进行书画交流、题跋,画作题款,不详,,,,,,,
1910年(清宣统二年庚戌),上海,黄宾虹,柳亚子、陈去病,社交/交往,主持《南社丛刻》的出版编辑工作，参与南社雅集、书画社团活动,《南社叢刻》,不详,,,,,,,
1910年(清宣统二年庚戌),上海,黄宾虹,胡适,社交/交往,在上海与归国的胡适会面，交流学术、文艺见解，作画赠予胡适,《胡适日記》,不详,,,,,,,
1910年(清宣统二年庚戌),上海,黄宾虹,无,艺术/创作,研习唐太宗书法，书风发生转变，同时持续创作书画作品，为各类书籍、画作撰写题跋,《自叙》,不详,,,,,,,
1910年(清宣统二年庚戌),上海,黄宾虹,无,学业/求学,在上海参与办学、教书工作，教授国学、书画相关课程,《上海教育志》,不详,,,,,,,
1910年(清宣统二年庚戌),安徽歙县,黄宾虹,方氏,家庭/亲属,母亲方氏病逝，返乡料理丧事,《歙潭渡黄氏先德录》,不详,,,,,,,
1910年(清宣统二年庚戌),上海,黄宾虹,无,其他,撰文祝贺新报创刊，临摹古画，持续参与文艺界相关活动,《申報》,不详,,,,,,,
1911年(清宣统三年辛亥),上海,黄宾虹,洪四果、子女,家庭/亲属,携家眷定居上海，任教于留美预备学堂，教授国文、历史等课程,《自叙》,不详,,,,,,,
1911年(清宣统三年辛亥),上海,黄宾虹,邓实,其他,参与《美术丛书》的编纂工作，负责书画、金石相关内容的整理与撰写,《美術叢書》,不详,,,,,,,
1911年(清宣统三年辛亥),上海,黄宾虹,柳亚子、陈去病,社交/交往,多次参加南社雅集，担任南社相关职务，参与南社的各项活动,《南社紀事》,不详,,,,,,,
1911年(清宣统三年辛亥),上海,黄宾虹,无,其他,武昌起义、上海光复后，拒绝安徽方面的任职邀请，正式加入南社，参与筹办《黄报》,《申報》,不详,,,,,,,
1911年(清宣统三年辛亥),上海,黄宾虹,外籍友人,社交/交往,结识外籍友人，交流、鉴赏中外古画，传播中国书画艺术,《自叙》,不详,,,,,,,
1911年(清宣统三年辛亥),上海,黄宾虹,无,艺术/创作,在上海期间持续创作书画作品，为各类刊物、书籍撰写文稿、题跋,画作题款,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1908年(清德宗光绪三十四年 戊申),安徽歙县,黄宾虹,无,学业/求学,持续整理撰写《叙摹印》《叙村居》《叙造墨》等文稿，完成《画学散记》，该作汇编历代画论，分多个门类系统梳理画学理论，生前未发表,存考资料,不详,,,,,,,
1908年(清德宗光绪三十四年 戊申),上海,黄宾虹,邓实,社交/交往,收到邓实来信，对方索要《叙造墨》续稿，并邀约撰写画论，同时商议《宾虹集印》影印、藏品制版等事宜,邓实书信,不详,,,,,,,
1908年(清德宗光绪三十四年 戊申),上海,黄宾虹,邓实,收藏/鉴藏,春季重游上海，将所藏汪士鋐《曹太学传》墨迹转赠喜爱此作的邓实,裘谱,不详,,,,,,,
1908年(清德宗光绪三十四年 戊申),上海,黄宾虹,无,艺术/创作,秋日创作《疏林淡山图》，并自题诗句落款,黄宾虹全集,不详,,,,,,,
1908年(清德宗光绪三十四年 戊申),上海,黄宾虹,无,艺术/创作,十月《滨虹论画》在《国粹学报》第四十五、四十八期连载，系统阐述画学理念,国粹学报,不详,,,,,,,
1908年(清德宗光绪三十四年 戊申),安徽歙县,黄宾虹,黄赓,其他,自光绪二十六年起代管堰田事务，至本年核算账目，代缴欠款、垫付修缮费用，查实宗族义田数量,任耕感言,不详,,,,,,,
1909年(清宣统元年 己酉),安徽歙县,黄赓,黄宾虹,其他,二弟黄赓再三请求接管堰田事务，黄宾虹考量后应允，整理账册、契约等相关材料完成交接,任耕感言,不详,,,,,,,
1909年(清宣统元年 己酉),新安江、上海,黄宾虹,邓实,游历/出行,移交堰田事务后从新安江出发前往安庆，途经上海时，被邓挽留协助神州国光社事务,自叙、九十杂述,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,蔡守(蔡哲夫),社交/交往,寓居藏书楼，与蔡守一同负责神州国光社的征稿、藏品鉴定、编辑、印制等工作,寒琼遗稿叙,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,邓实,其他,邓实代为拟定书画、篆刻润格并刊登发布,国粹学报,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,蔡守(蔡哲夫),社交/交往,与蔡守结为金石书画挚友，二人频繁通信，交流古器、印章、书画鉴赏心得,蔡守书信,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,蔡守(蔡哲夫),艺术/创作,计划与蔡守携带摄影器具，遍历名山大川，以实景为参考进行绘画创作,真相画报叙,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,蔡守(蔡哲夫),艺术/创作,春日为蔡守绘制《雪味厂图》并题款,天荒什志,不详,,,,,,,
1909年(清宣统元年 己酉),安徽歙县檀干村,黄宾虹,许承尧,艺术/创作,暮春为许承尧创作《檀干村图》,许承尧诗作,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,柳亚子,社交/交往,春夏间与来沪就医的柳亚子结识缔交,南社纪略,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1909年(清宣统元年 己酉)夏,上海,黄宾虹,黄节,艺术/创作,为黄节创作《蒹葭图》，并自题“己酉夏日，寫博晦聞先生雅粲，潭上質”落款，该作品现藏于广东省博物馆,《美术馆》2001年创刊号,不详,,,,,,,
1909年(清宣统元年 己酉)9月,上海,黄宾虹,潘飞声、邓实、蔡守,社交/交往,潘飞声应沈宗畸之请赴京编《国学萃编》，途经上海时，黄宾虹与邓实、蔡守邀其在酒楼饮宴，潘飞声赠诗留别，黄宾虹为其《荔支灣送別圖》卷题跋,潘飞声《說劍堂集》、香港中大文物馆藏,不详,,,,,,,
1909年(清宣统元年 己酉)夏,上海,黄宾虹,潘飞声,艺术/创作,为潘飞声创作《惠山訪聽松石圖》，自题落款说明创作缘由，该作品有刘炳照、陈去病、孙德谦等多人题跋，现藏于上海博物馆,上海博物馆藏品档案,不详,,,,,,,
1909年(清宣统元年 己酉)夏,上海,黄宾虹,潘飞声,艺术/创作,为潘飞声创作《西泠泛櫂圖》，并录潘飞声游西湖所作四章诗作，该作品有俞达夫、陈衍、袁祖光等多人辛亥年题咏,作品题跋档案,不详,,,,,,,
1909年(清宣统元年 己酉),上海豫园,黄宾虹,蔡守,社交/交往,与蔡守一同加入年初创立的邑廟豫園書畫善會；10月31日偕蔡守游豫园西园、东园诸肆，歇脚于得月楼笺扇店楼上的书画善会,1909年广州《時事畫報》、1909年12月11日《時報》,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,王一亭,艺术/创作,创作仿古山水作品，仅钤“古歙黄樸存印”朱文印，未落款，王一亭为其题跋，该作品为邑廟豫園書畫善會所作,嘉德2004年春季拍賣圖錄,不详,,,,,,,
1909年(清宣统元年 己酉)7月,上海,黄宾虹,李可亭、邓实,艺术/创作,挥汗为李可亭创作《淺絳新安山水圖册》八帧，署“己酉七月潭上質”“樸居士”款，邓实为题识，称其画“視諸（新安）先輩，幾有出藍之妙”，该作品1936年为江肇周所得并题跋,江肇周题跋、拍卖图录档案,不详,,,,,,,
1909年(清宣统元年 己酉)秋,上海,黄宾虹,无,艺术/创作,自绘《濱虹草堂圖》，题“己酉冬日，潭上質寫”落款,作品题跋档案,不详,,,,,,,
1909年(清宣统元年 己酉)冬,上海斜桥西园,黄宾虹,杨古醖,社交/交往,杨古醖八十寿辰，黄宾虹赴斜桥西园参与海上耆英为其举办的祝嘏之会，创作画作贺寿并题诗,保利1910年秋季拍賣圖錄,不详,,,,,,,
1909年(清宣统元年 己酉)11月13日,江苏苏州虎丘张公祠,黄宾虹,蔡守、冯心侠、景耀月、柳亚子、陈去病等,社交/交往,偕蔡守、冯心侠、景耀月自苏州城联骑赴虎丘，参加南社第一次雅集，到会社友十七人、来宾二人，会上选举产生南社第一届职员,《九十雜談》、柳亚子《我和南社的關係》、郑逸梅《南社叢談》,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,高天梅,艺术/创作,为高天梅创作山水图册，高天梅为其题《題樸人山水册即以爲贈》诗,高天梅诗文集,不详,,,,,,,
1909年(清宣统元年 己酉),上海,黄宾虹,蔡守,艺术/创作,为蔡守创作仿程穆倩枯笔《壺天閣圖》与《玄芝閣圖》；《玄芝閣圖》为贺蔡守十月获汉铜“蔡燕”印、征兰之喜而作，自题落款说明创作缘由,蔡守《溼羅衣》、作品自题,不详,,,,,,,
1910年(清宣统二年 庚戌)1月,上海,黄宾虹,高天梅,其他,主持印制的《南社叢刻》第一集正式出版，该集由高天梅编辑，黄宾虹经手由国光印刷所印制,《南社叢刻》第一集版权页,不详,,,,,,,
1910年(清宣统二年 庚戌)春,上海,黄宾虹,无,社交/交往,参加新成立的中国书画研究会,《小花园书画研究会》相关报道,不详,,,,,,,
1910年(清宣统二年 庚戌)腊月,安徽歙县、芜湖,黄宾虹,黄赓、汪雨和,其他,取道芜湖返里，迂道丰堨头晤旧司事汪雨和，得知之前交卸给二弟黄赓的堰务已被邑东自治公所接办，深为不安；赴郡城稽查案卷确认后，匆遽返沪,《任耕感言》,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,无,艺术/创作,春日创作《山水图》，自题“庚戌春日，潭上质写”落款，该作品为仿古山水，笔墨简淡，现藏于故宫博物院,故宫博物院藏品档案,不详,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,蔡守,社交/交往,与蔡守一同参与上海书画界的赈灾义卖活动，创作书画作品用于赈灾,1910年《时报》相关报道,不详,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,邓实,其他,继续协助神州国光社编辑《美术丛书》，负责金石、书画相关内容的整理与校勘,《美术丛书》版权页,不详,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,柳亚子,社交/交往,多次与柳亚子相聚，交流南社事务与文艺见解，为柳亚子创作书画作品,柳亚子《磨剑室诗词集》,不详,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,无,艺术/创作,秋日创作《新安江泛舟图》，自题“庚戌秋，写新安江景，潭上质”落款，该作品以新安江山水为题材，笔墨苍润,作品题跋档案,不详,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,高邕、王一亭,社交/交往,与高邕、王一亭等海上书画名家一同参与书画雅集，交流画艺，合作创作书画作品,1910年《申报》相关报道,不详,,,,,,,
1910年(清宣统二年 庚戌),上海,黄宾虹,无,收藏/鉴藏,整理个人所藏古印、金石拓本，继续完善《滨虹集印》的编纂工作,《滨虹集印》相关文稿,不详,,,,,,,
1911年(清宣统三年 辛亥),上海南市,黄宾虹,洪四果、子女,家庭/亲属,携家眷正式定居上海南市，结束了多年的漂泊生活,《自叙》,不详,,,,,,,
1911年(清宣统三年 辛亥),上海留美预备学堂,黄宾虹,无,学业/求学,任教于上海留美预备学堂，教授国文、历史、地理等课程，同时兼任书画教习,《上海教育志》,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,邓实,其他,与邓实一同编纂《美术丛书》，该丛书陆续分册出版，收录了大量历代书画、金石、美术相关的典籍,《美术丛书》出版说明,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,柳亚子、陈去病,社交/交往,多次参加南社雅集，担任南社庶务干事，参与南社的各项组织与编辑工作,《南社纪事》,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,无,艺术/创作,春日创作《山水图册》十二帧，自题“辛亥春日，潭上质写”落款，该册页多以黄山、新安山水为题材，笔墨苍劲,拍卖图录档案,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,无,其他,武昌起义爆发后，拒绝安徽方面的任职邀请，留在上海参与革命相关的宣传工作,《自叙》,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,无,其他,上海光复后，参与筹办《黄报》，负责文艺、美术相关的编辑工作,1911年《申报》相关报道,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,外籍汉学家、收藏家,社交/交往,结识在沪的外籍汉学家、收藏家，交流中外书画鉴赏心得，向海外传播中国书画艺术,《自叙》,不详,,,,,,,
1911年(清宣统三年 辛亥),上海,黄宾虹,无,艺术/创作,秋日创作《秋山图》，自题“辛亥秋日，潭上质写”落款，该作品为浅绛山水，意境悠远,作品题跋档案,不详,,,,,,,
时间,地点,核心人物,相关人物,事件描述,原文出处,页码/位置,,,,,,,,
1912年(民国元年),上海,黄宾虹,高剑父、高奇峰、胡怀琛、马星驰、沈心海,艺术/出版,参与创办《真相画报》，以笔名頎厂发表叙文、书画作品，该刊以美术宣传革命、启迪民智为宗旨,《真相画报》、拙文《黄宾虹十事考·〈真相画报〉之缘》,不详,,,,,,,
1912年(民国元年)5月,上海,黄宾虹,高燮,艺术/创作,受高燮所托为其篆刻印章，高燮作诗致谢，诗作刊载于《神州日报》《太平洋报》,高燮《赠黄滨虹拟请治印》,不详,,,,,,,
1912年(民国元年)5月14日,上海扆虹园,黄宾虹,朱少屏、杜亚泉等,其他,参与南社发起的国民捐商议大会，现场讨论筹款办法，同时发表相关时评,1912年5月《神州日报》,不详,,,,,,,
